"Player","Player ID","Player Birth Country","Player Age","Season"
"Sidney Crosby",3114,"CAN",28,20142015
"Roberto Luongo",551,"CAN",36,20142015
"Steven Stamkos",5037,"CAN",25,20142015
"Claude Giroux",3775,"CAN",27,20142015
"Ryan Getzlaf",5042,"CAN",30,20142015
"Erik Karlsson",5164,"SWE",25,20142015
"Anze Kopitar",3183,"SVN",28,20142015
"Evgeni Malkin",3124,"RUS",29,20142015
"Eddie Lack",3151,"SWE",27,20142015
"Corey Perry",3009,"CAN",30,20142015
"Patrick Kane",3735,"USA",27,20142015
"John Tavares",5160,"CAN",25,20142015
"Alex Ovechkin",3101,"RUS",30,20142015
"Tyler Seguin",5430,"CAN",23,20142015
"Jonathan Toews",3835,"CAN",27,20142015
"P.K. Subban",3540,"CAN",26,20142015
"Jason Spezza",3807,"CAN",32,20142015
"Martin St. Louis",2583,"CAN",40,20142015
"Henrik Sedin",5406,"SWE",35,20142015
"Jamie Benn",3998,"CAN",26,20142015
"Taylor Hall",5428,"CAN",24,20142015
"Daniel Sedin",5407,"SWE",35,20142015
"Phil Kessel",3852,"USA",28,20142015
"Shea Weber",5437,"CAN",30,20142015
"Joe Pavelski",3451,"USA",31,20142015
"Kris Letang",3539,"CAN",28,20142015
"Marian Hossa",5440,"SVK",36,20142015
"Pavel Datsyuk",2996,"RUS",37,20142015
"Sean Monahan",3899948,"CAN",21,20142015
"Patrick Marleau",3004,"CAN",36,20142015
"Joe Thornton",3024,"CAN",36,20142015
"Jarome Iginla",3102,"CAN",38,20142015
"Henrik Zetterberg",5438,"SWE",35,20142015
"Patrick Sharp",3033,"CAN",34,20142015
"Drew Doughty",3995,"CAN",26,20142015
"Nicklas Backstrom",5405,"SWE",28,20142015
"Jason Pominville",3066,"CAN",33,20142015
"Chris Kunitz",3119,"CAN",36,20142015
"Ryan Kesler",5041,"USA",31,20142015
"Matt Duchene",5161,"CAN",24,20142015
"Logan Couture",3773,"CAN",26,20142015
"Kyle Turris",5478,"CAN",26,20142015
"Zach Parise",5493,"USA",31,20142015
"Duncan Keith",5418,"CAN",32,20142015
"Keith Yandle",5009,"USA",29,20142015
"Nathan MacKinnon",3041969,"CAN",20,20142015
"Ryan Suter",3047,"USA",30,20142015
"Eric Staal",3037,"CAN",31,20142015
"Ryan O'Reilly",5047,"CAN",24,20142015
"Alex Pietrangelo",4013,"CAN",25,20142015
"Max Pacioretty",4005,"CAN",27,20142015
"Zdeno Chara",2956,"SVK",38,20142015
"Mark Streit",5454,"SUI",38,20142015
"T.J. Oshie",5555,"USA",29,20142015
"Wayne Simmonds",5490,"CAN",27,20142015
"Oliver Ekman-Larsson",5488,"SWE",24,20142015
"Jordan Eberle",5032,"CAN",25,20142015
"Kevin Shattenkirk",5008,"USA",26,20142015
"Victor Hedman",5157,"SWE",25,20142015
"Ryan McDonagh",4954,"USA",26,20142015
"Brent Seabrook",5084,"CAN",30,20142015
"Gabriel Landeskog",5435,"SWE",23,20142015
"Mark Giordano",3006,"CAN",32,20142015
"Blake Wheeler",3961,"USA",29,20142015
"Marian Gaborik",5448,"SVK",33,20142015
"Jaromir Jagr",5639,"CZE",43,20142015
"Mikko Koivu",5831,"FIN",32,20142015
"Mike Green",5411,"CAN",30,20142015
"David Backes",5524,"USA",31,20142015
"James Wisniewski",5551,"USA",31,20142015
"Christian Ehrhoff",5517,"GER",33,20142015
"Jeff Carter",3933,"CAN",30,20142015
"Dustin Byfuglien",5544,"CAN",30,20142015
"Dan Boyle",5502,"USA",39,20142015
"Carey Price",5409,"CAN",28,20142015
"Tuukka Rask",5515,"FIN",28,20142015
"Niklas Kronwall",5533,"SWE",34,20142015
"Andrei Markov",5625,"BLR",37,20142015
"Pascal Dupuis",5570,"CAN",36,20142015
"Tomas Hertl",2976844,"CZE",22,20142015
"Matt Niskanen",5497,"USA",29,20142015
"Dion Phaneuf",5535,"CAN",30,20142015
"Thomas Vanek",5618,"AUT",31,20142015
"Brent Burns",2300,"CAN",30,20142015
"Bobby Ryan",5552,"USA",28,20142015
"David Krejci",5589,"CZE",29,20142015
"Antti Niemi",3115,"FIN",32,20142015
"Semyon Varlamov",5649,"RUS",27,20142015
"Dave Bolland",5634,"CAN",29,20142015
"Marc-Andre Fleury",2346,"CAN",31,20142015
"Corey Crawford",5597,"CAN",31,20142015
"Jay McClement",5506,"CAN",32,20142015
"Jonathan Quick",5586,"USA",29,20142015
"Ben Bishop",5608,"USA",29,20142015
"Patrice Bergeron",2280,"CAN",30,20142015
"Ryan Johansen",5434,"CAN",23,20142015
"Rick Nash",5635,"CAN",31,20142015
"Mike Cammalleri",5502,"CAN",33,20142015
"Torey Krug",2952729,"USA",24,20142015
"James Neal",5651,"CAN",28,20142015
