Player,Team,Corrected Player,Corrected Team,Notes
Phil Kessel,ARI,Phil Kessel,PIT,
P.K. Subban,NJD,P.K. Subban,NSH,
Artemi Panarin,NYR,Artemi Panarin,CBJ,
Mitch Marner,TOR,Mitchell Marner,TOR,
Joe Pavelski,DAL,Joe Pavelski,SJS,
Tyson Barrie,TOR,Tyson Barrie,COL,
Wayne Simmonds,NJD,Wayne Simmonds,PHI,
Alex Galchenyuk,PIT,Alex Galchenyuk,ARI,
Mats Zuccarello,MIN,Mats Zuccarello,NYR,
Nazem Kadri,COL,Nazem Kadri,TOR,
Matt Duchene,NSH,Matt Duchene,OTT,
Colin Miller,BUF,Colin Miller,VGK,
Sergei Bobrovsky,FLA,Sergei Bobrovsky,CBJ,
Semyon Varlamov,NYI,Semyon Varlamov,COL,
Jacob Trouba,NYR,Jacob Trouba,WPG,
Cody Glass,VGK,Cody Glass,,Was not on roster.
