Player,Team,Corrected Player,Corrected Team
Alexis Lafreniere,NYR,Alexis Lafrenière,NYR
T.J. Brodie,TOR,TJ Brodie,TOR
Pavel Buchnevich,STL,Pavel Buchnevich,NYR
Ryan Suter,DAL,Ryan Suter,MIN
Keith Yandle,PHI,Keith Yandle,FLA
Ryan Ellis,PHI,Ryan Ellis,NSH
Oliver Ekman-Larsson,VAN,Oliver Ekman-Larsson,ARI
Petr Mrazek,TOR,Petr Mrazek,CAR
Dougie Hamilton,NJD,Dougie Hamilton,CAR
Seth Jones,CHI,Seth Jones,CBJ
Evgenii Dadonov,VGK,Evgenii Dadonov,OTT
Jakub Voracek,CBJ,Jakub Voracek,PHI
Mike Hoffman,MTL,Mike Hoffman,STL
Tony DeAngelo,CAR,Tony DeAngelo,NYR
Marc-Andre Fleury,CHI,Marc-Andre Fleury,VGK
Sam Reinhart,FLA,Sam Reinhart,BUF
Philipp Grubauer,SEA,Philipp Grubauer,COL
Mark Giordano,SEA,Mark Giordano,CGY
Jaden Schwartz,SEA,Jaden Schwartz,STL
